wkt_geom	OBJECTID	OBJTYPE	NAVN	KOMM	OPPDATERIN	Shape_Leng	Shape_Area	AREA	PERIMETER	ANSLAG_FRI
POLYGON((16.886856 68.913402,16.877941 68.890618,16.871592 68.874363,16.749195 68.792050,16.734902 68.752539,16.716421 68.701234,16.587135 68.628713,16.535726 68.599716,16.550950 68.574726,16.456012 68.550366,16.447681 68.559897,16.442123 68.566252,16.429847 68.580273,16.307505 68.601806,16.299587 68.607708,16.268137 68.631116,16.405728 68.666886,16.422476 68.671224,16.386920 68.690985,16.410753 68.700234,16.397797 68.703072,16.369266 68.709317,16.362283 68.757366,16.327165 68.759438,16.362543 68.774041,16.352181 68.781649,16.340625 68.790127,16.338887 68.791401,16.243698 68.815812,16.241215 68.830498,16.236104 68.860663,16.233354 68.876864,16.112258 68.931605,16.095167 68.953623,16.052314 69.008629,16.120090 69.049841,16.291625 69.018875,16.320553 68.989206,16.342498 68.966641,16.512251 68.935591,16.528329 68.910072,16.532495 68.903450,16.637572 68.911464,16.726029 68.918156,16.886856 68.913402))	31	Kommune	Harstad	1901		156778.60382	788778892.773	788778892.773438	156778.60382	
POLYGON((17.429128 68.902407,17.454522 68.898656,17.488914 68.893567,17.532008 68.887178,17.485205 68.860549,17.434805 68.831788,17.226515 68.780086,17.161888 68.736953,16.716421 68.701234,16.734902 68.752539,16.749195 68.792050,16.871592 68.874363,16.877941 68.890618,16.886856 68.913402,16.945813 68.951947,17.145579 68.966371,17.243283 68.973333,17.382401 68.954219,17.429128 68.902407))	32	Kommune	Ibestad	1917		100058.811478	584641451.949	584641451.949219	100058.811478	98936000
POLYGON((16.550950 68.574726,16.602588 68.545265,16.590472 68.539736,16.556564 68.524244,16.575044 68.505065,16.576911 68.503125,16.570352 68.454311,16.567667 68.434261,16.162153 68.372084,16.029851 68.376809,16.040451 68.422401,16.144421 68.508553,16.160819 68.522075,16.132218 68.535574,16.125059 68.538949,16.062651 68.531488,16.052009 68.530213,16.032457 68.535185,16.007923 68.541417,16.024290 68.577072,16.074134 68.602477,16.268067 68.631106,16.268137 68.631116,16.299587 68.607708,16.307505 68.601806,16.429847 68.580273,16.442123 68.566252,16.447681 68.559897,16.456012 68.550366,16.550950 68.574726))	33	Kommune	Tjeldsund	1852		99008.6701113	455146980.537	455146980.536865	99008.670111	90698000
POLYGON((13.581421 67.847173,13.694977 67.784421,13.595061 67.699440,13.507375 67.674257,13.277926 67.731346,13.158692 67.760776,12.997696 67.782944,12.855247 67.802392,12.670893 67.811268,12.626221 67.816560,12.166690 67.870157,12.279883 68.008582,12.394296 68.096691,12.419325 68.115127,12.470718 68.152879,12.593970 68.129490,12.945769 68.061956,12.993688 68.045038,13.015065 68.037478,13.062530 67.978408,13.135498 67.978667,13.155679 67.978733,13.168975 67.974663,13.581421 67.847173))	34	Kommune	Moskenes	1874		178991.707752	1579895190.74	1579895190.73682	178991.707752	69078000
POLYGON((12.835953 67.374152,12.728631 67.274847,12.681185 67.261447,12.583522 67.233774,12.345037 67.124881,12.145488 67.085722,11.667005 67.016178,11.351358 67.339496,11.312755 67.392869,11.303253 67.437457,11.313358 67.470921,11.359709 67.537827,11.414578 67.587195,11.485575 67.622808,11.706508 67.699153,11.987895 67.781870,12.307371 67.623805,12.447887 67.558121,12.662139 67.457022,12.672321 67.452188,12.835953 67.374152))	35	Kommune	Røst	1856		225561.027508	3399817222.09	3399817222.09302	225561.027508	44675000
POLYGON((12.627076 66.260166,12.667243 66.206378,12.779754 66.190560,12.822696 66.184495,12.834101 66.148016,12.784194 66.139858,12.701919 66.126361,12.702742 66.102587,12.625723 66.064618,12.617038 66.039349,12.482357 65.996108,12.439136 66.002846,12.441597 66.026678,12.293900 66.012482,12.305027 66.024722,12.319492 66.040616,12.335258 66.057914,12.300002 66.056942,12.222718 66.123178,12.104388 66.142645,12.046536 66.218505,11.839953 66.312748,11.994547 66.334181,12.191344 66.286381,12.333758 66.287185,12.427208 66.232473,12.573029 66.263998,12.627076 66.260166))	36	Kommune	Dønna	1827		139766.355222	751264884.873	751264884.871582	139766.355222	97019000
POLYGON((12.704353 65.949221,12.604866 65.902639,12.631536 65.868313,12.584748 65.789751,12.522670 65.769842,12.320260 65.704539,12.301964 65.702355,12.239980 65.694936,12.182164 65.701600,12.169989 65.792962,12.130215 65.845648,12.071283 65.866532,12.155570 65.887874,12.206025 65.858004,12.228006 65.863611,12.253165 65.884715,12.217948 65.915954,12.482357 65.996108,12.617038 66.039349,12.641372 66.031556,12.650413 66.028657,12.724339 66.038816,12.731085 66.039740,12.766932 66.012412,12.774986 66.006263,12.675610 65.978396,12.691910 65.961860,12.704353 65.949221))	37	Kommune	Alstahaug	1820		119793.132036	587022681.962	587022681.962646	119793.132036	354289000
POLYGON((11.378793 64.996198,11.381234 64.928377,11.373188 64.923445,11.299446 64.878146,11.272976 64.861840,11.023324 64.753596,10.958552 64.725302,10.918787 64.714308,10.738192 64.659873,10.617322 64.620971,10.430744 64.588791,10.150264 64.644806,9.803794 64.778152,9.929008 64.837669,9.996956 64.869815,10.082263 64.985220,10.148766 65.051745,10.365946 65.265206,10.803901 65.187887,11.150496 65.125465,11.284334 65.008001,11.378793 64.996198))	38	Kommune	Vikna	1750		224865.631636	3307063464.68	3307063464.68018	224865.631636	225729000
POLYGON((17.407474 69.298730,17.269676 69.284728,17.268983 69.282268,17.260651 69.252623,17.196759 69.242743,17.259180 69.207578,17.207610 69.197910,17.196217 69.195771,17.089323 69.175644,17.050222 69.175357,16.834220 69.173615,16.729101 69.189684,16.741455 69.221138,16.646692 69.267640,16.432505 69.312598,16.449906 69.335879,16.512446 69.419122,16.254351 69.596701,16.570398 69.649422,16.826504 69.471381,17.122849 69.401364,17.139672 69.397360,17.175733 69.388768,17.205574 69.381451,17.215763 69.354385,17.302457 69.354466,17.329270 69.320852,17.407474 69.298730))	39	Kommune	Torsken	1928		161282.041933	1072771246.56	1072771246.55713	161282.041933	70591000
POLYGON((17.831752 69.143668,17.514501 69.118495,17.392167 69.108616,17.328678 69.086157,17.318178 69.057838,17.302017 69.014100,17.243283 68.973333,17.145579 68.966371,16.945813 68.951947,16.711244 69.020039,16.729101 69.189684,16.834220 69.173615,17.050222 69.175357,17.089323 69.175644,17.196217 69.195771,17.207610 69.197910,17.259180 69.207578,17.196759 69.242743,17.260651 69.252623,17.268983 69.282268,17.269676 69.284728,17.407474 69.298730,17.437994 69.300969,17.536520 69.308157,17.538019 69.308266,17.553707 69.309405,17.557042 69.318694,17.568202 69.349718,17.642361 69.296953,17.672603 69.275352,17.673166 69.260106,17.674073 69.235484,17.724765 69.237784,17.720873 69.215106,17.810344 69.216116,17.820937 69.216232,17.851207 69.201573,17.836708 69.158451,17.831752 69.143668))	40	Kommune	Tranøy	1927		157965.719172	940430205.318	940430205.318359	157965.719172	104808000
POLYGON((15.383794 68.888262,15.326759 68.881194,15.256258 68.829149,15.253421 68.827049,15.274912 68.817147,15.217403 68.801680,15.203682 68.783562,15.120758 68.787839,15.098838 68.784678,15.081184 68.781037,15.060716 68.783485,15.050762 68.783103,14.926855 68.725463,14.873990 68.724868,14.859662 68.724703,14.831035 68.761376,14.804492 68.763581,14.756794 68.767532,14.716589 68.770851,14.706746 68.771662,14.740477 68.807680,14.708023 68.844130,14.680702 68.862107,14.601578 68.868013,14.188904 69.001025,14.344452 69.067486,14.373979 69.080041,14.618430 69.183238,14.786607 69.250679,15.022083 69.315972,15.347904 69.153558,15.383794 68.888262))	41	Kommune	Øksnes	1868		178773.842252	1808741629.45	1808741629.44653	178773.842252	234674000
